IMIE_PIERWSZE,PLEC,LICZBA_WYSTAPIEN
ANNA,KOBIETA,1053032
KATARZYNA,KOBIETA,606814
MARIA,KOBIETA,601501
MALGORZATA,KOBIETA,581732
AGNIESZKA,KOBIETA,549842
BARBARA,KOBIETA,491058
EWA,KOBIETA,481613
MAGDALENA,KOBIETA,434596
ELZBIETA,KOBIETA,425218
KRYSTYNA,KOBIETA,423395
